规格	英文飞船名	中文飞船名	定位	官网状态	价格USD	来源	备注	隐藏标签	图片路径
大型	Apollo Medivac	RSI 阿波罗 医疗	Support / Medical	可飞	290	已解析历史快照			Data\ShipImages\apollo-medivac.jpg
大型	Apollo Triage	RSI 阿波罗 分诊	Support / Medical	可飞	260	已解析历史快照			Data\ShipImages\apollo-triage.jpg
大型	Arrastra	RSI 阿拉斯塔	Industrial / Heavy Mining	概念	575	已解析历史快照			Data\ShipImages\arrastra.jpg
大型	C2 Hercules	十字军 大力神 C2	Transport / Heavy Freight	可飞	400	已解析历史快照			Data\ShipImages\c2-hercules.jpg
大型	Carrack	铁砧 克拉克	Exploration / Expedition	可飞	600	已解析历史快照			Data\ShipImages\carrack.png
大型	Carrack Expedition	铁砧 克拉克 远征版	Exploration / Expedition	可飞	625	已解析历史快照			Data\ShipImages\carrack-expedition.jpg
大型	Carrack Expedition w/C8X	铁砧 克拉克 远征版 带/C8X	Exploration / Expedition	可飞	645	已解析历史快照			Data\ShipImages\carrack-expedition-w-c8x.jpg
大型	Carrack w/C8X	铁砧 克拉克 带/C8X	Exploration / Expedition	可飞	620	已解析历史快照			Data\ShipImages\carrack-w-c8x.jpg
大型	Caterpillar	德雷克 毛虫	Transport / Heavy Freight	可飞	330	已解析历史快照			Data\ShipImages\caterpillar.jpg
大型	Constellation Andromeda	RSI 星座 仙女座	Multi-role / Medium Freight / Gun Ship	可飞	240	已解析历史快照			Data\ShipImages\constellation-andromeda.jpg
大型	Constellation Aquila	RSI 星座 天鹰座	Exploration / Expedition	可飞	315	已解析历史快照			Data\ShipImages\constellation-aquila.jpg
大型	Constellation Phoenix	RSI 星座 凤凰座	Exploration / Luxury Touring	可飞	350	已解析历史快照			Data\ShipImages\constellation-phoenix.jpg
大型	Constellation Phoenix Emerald	RSI 星座 凤凰座 翡翠绿	Exploration / Luxury Touring	可飞	350	已解析历史快照			Data\ShipImages\constellation-phoenix-emerald.jpg
大型	Constellation Taurus	RSI 星座 金牛座	Transport / Medium Freight	可飞	200	已解析历史快照			Data\ShipImages\constellation-taurus.jpg
大型	Corsair	德雷克 海盗船	Exploration / Expedition	可飞	250	已解析历史快照			Data\ShipImages\corsair.jpg
大型	Crucible	铁砧 坩埚	Support / Heavy Repair	概念	350	已解析历史快照			Data\ShipImages\crucible.jpg
大型	Galaxy	RSI 银河	Multi-role / Modular	概念	380	已解析历史快照			Data\ShipImages\galaxy.jpg
大型	Genesis	创世纪星际客机	Transport / Passenger	概念	400	已解析历史快照			Data\ShipImages\genesis.jpg
大型	Hammerhead	圣盾 锤头鲨	Combat / Gun Ship	可飞	725	已解析历史快照			Data\ShipImages\hammerhead.jpg
大型	Hull C	武藏 货轮 C	Transport / Heavy Freight	可飞	500	已解析历史快照			Data\ShipImages\hull-c.jpg
大型	Ironclad	德雷克 铁甲	Transport / Heavy Freight	可飞	600	已解析历史快照			Data\ShipImages\ironclad.jpg
大型	Ironclad Assault	德雷克 铁甲 突袭	Combat / Gunship	可飞	650	已解析历史快照			Data\ShipImages\ironclad-assault.jpg
大型	Liberator	铁砧 解放者	Transport / Light Carrier	概念	575	已解析历史快照			Data\ShipImages\liberator.png
大型	M2 Hercules	十字军 大力神 M2	Transport / Heavy Freight	可飞	520	已解析历史快照			Data\ShipImages\m2-hercules.jpg
大型	Merchantman	巴努 商船	Transport / Heavy Freight	概念	650	已解析历史快照			Data\ShipImages\merchantman.jpg
大型	Nautilus	圣盾 鹦鹉螺	Combat / Mine Layer	概念	725	已解析历史快照			Data\ShipImages\nautilus.jpg
大型	Nautilus Solstice Edition	圣盾 鹦鹉螺 至日版	Combat / Mine Layer	概念	725	已解析历史快照			Data\ShipImages\nautilus-solstice-edition.jpg
大型	Odyssey	武藏 奥德赛	Exploration / Expedition	概念	700	已解析历史快照			Data\ShipImages\odyssey.jpg
大型	Perseus	RSI 英仙座	Combat / Gun Ship	可飞	800	已解析历史快照			Data\ShipImages\perseus.jpg
大型	Reclaimer	圣盾 回收者	Industrial / Heavy Salvage	可飞	400	已解析历史快照			Data\ShipImages\reclaimer.jpg
大型	Retaliator	圣盾 报复者	Combat / Bomber	可飞	175	已解析历史快照			Data\ShipImages\retaliator.jpg
大型	Starfarer	武藏 星际远航者	Transport / Heavy Refuel	可飞	300	已解析历史快照			Data\ShipImages\starfarer.jpg
大型	Starfarer Gemini	武藏 星际远航者 双子座	Transport / Heavy Refuel	可飞	340	已解析历史快照			Data\ShipImages\starfarer-gemini.jpg
大型	Tiburon	圣盾 狂鲨	Combat / Heavy Gunship	可飞	775	已解析历史快照			Data\ShipImages\tiburon.jpg
大型	Tyilui	盖塔克 缇伦	Transport / Snub Carrier	可飞	425	已解析历史快照			Data\ShipImages\tyilui.jpg
中型	A1 Spirit	十字军 星灵 A1	Combat / Bomber	可飞	200	1.html			Data\ShipImages\a1-spirit.jpg
中型	Ares Inferno	十字军 战神 星际战斗机 地狱火	Combat / Heavy Fighter	可飞	250	1.html			Data\ShipImages\ares-inferno.jpg
中型	Argo Mole Carbon Edition	南船座 鼹鼠 炭黑	Industrial / Prospecting / Mining	可飞	315	1.html			Data\ShipImages\argo-mole-carbon-edition.jpg
中型	Argo Mole Talus Edition	南船座 鼹鼠 岩白	Industrial / Prospecting / Mining	可飞	315	1.html			Data\ShipImages\argo-mole-talus-edition.jpg
中型	Asgard	铁砧 阿斯加德	Combat / Dropship	可飞	350	1.html			Data\ShipImages\asgard.jpg
中型	C1 Spirit	十字军 星灵 C1	Transport / Medium Freight	可飞	125	1.html			Data\ShipImages\c1-spirit.jpg
中型	Cutlass Black	德雷克 黑弯刀	Multi-role / Medium Freight	可飞	110	1.html			Data\ShipImages\cutlass-black.jpg
中型	Cutlass Blue	德雷克 蓝弯刀	Combat / Interdiction	可飞	175	1.html			Data\ShipImages\cutlass-blue.jpg
中型	Cutlass Red	德雷克 红弯刀	Support / Medical	可飞	135	1.html			Data\ShipImages\cutlass-red.jpg
中型	Cutlass Steel	德雷克 钢弯刀	Combat / Dropship	可飞	235	1.html			Data\ShipImages\cutlass-steel.jpg
中型	E1 Spirit	十字军 星灵 E1	Transport / Passenger	概念	150	1.html			Data\ShipImages\e1-spirit.jpg
中型	Eclipse	圣盾 日蚀	Combat / Stealth Bomber	可飞	300	1.html			Data\ShipImages\eclipse.jpg
中型	Freelancer	武藏 自由枪骑兵	Transport / Medium Freight	可飞	110	1.html			Data\ShipImages\freelancer.jpg
中型	Freelancer DUR	武藏 自由枪骑兵 DUR	Exploration / Expedition	可飞	135	1.html			Data\ShipImages\freelancer-dur.jpg
中型	Freelancer MAX	武藏 自由枪骑兵 MAX	Transport / Medium Freight	可飞	150	1.html			Data\ShipImages\freelancer-max.jpg
中型	Freelancer MIS	武藏 自由枪骑兵 MIS	Combat / Gun Ship	可飞	175	1.html			Data\ShipImages\freelancer-mis.jpg
中型	Glaive	埃斯佩里亚 长刀	Combat / Medium Fighter	可飞	350	1.html			Data\ShipImages\glaive.jpg
中型	Hermes	RSI 赫尔墨斯	Transport / Medium Freighter	可飞	220	1.html			Data\ShipImages\hermes.jpg
中型	Hull B	武藏 货轮 B	Transport / Medium Hauler	可飞	280	1.html			Data\ShipImages\hull-b.jpg
中型	Mercury	十字军 水星	Transport / Medium Cargo / Medium Data	可飞	260	1.html			Data\ShipImages\mercury.jpg
中型	MOLE	南船座 鼹鼠	Industrial / Prospecting / Mining	可飞	315	2.html			Data\ShipImages\mole.jpg
中型	MOTH	南船座 飞蛾	Industrial / Medium Salvage	可飞	315	2.html			Data\ShipImages\moth.jpg
中型	Paladin	铁砧 圣骑士	Combat / Gunship	可飞	350	2.html			Data\ShipImages\paladin.jpg
中型	Prowler	埃斯佩里亚 徘徊者	Combat / Dropship	可飞	440	2.html			Data\ShipImages\prowler.jpg
中型	Prowler Utility	埃斯佩里亚 徘徊者 多功能	Transport / Cargo	可飞	300	2.html			Data\ShipImages\prowler-utility.jpg
中型	RAFT	南船座 木筏	Transport / Medium Freight	可飞	190	2.html			Data\ShipImages\raft.jpg
中型	Railen	盖塔克 锐伦	Transport / Medium Freight	可飞	400	2.html			Data\ShipImages\railen.jpg
中型	Redeemer	圣盾 救赎者	Combat / Gunship	可飞	330	2.html			Data\ShipImages\redeemer.jpeg
中型	Sabre Firebird	圣盾 军刀 火鸟	Combat / Medium Fighter	可飞	185	2.html			Data\ShipImages\sabre-firebird.jpg
中型	San'tok.yāi	奥波亚 桑托起亚	Combat / Medium Fighter	可飞	240	2.html			Data\ShipImages\san-tok-y-i.jpg
中型	Starlancer MAX	武藏 星际枪骑兵 MAX	Transport / Medium Freight	可飞	250	2.html			Data\ShipImages\starlancer-max.jpg
中型	Starlancer TAC	武藏 星际枪骑兵 TAC	Combat / Patrol	可飞	375	2.html			Data\ShipImages\starlancer-tac.jpg
中型	Stinger	埃斯佩里亚 毒刺	Combat / Heavy Fighter	可飞	315	2.html			Data\ShipImages\stinger.jpg
中型	Vanguard Harbinger	圣盾 先锋 先驱	Combat / Bomber	可飞	290	2.html			Data\ShipImages\vanguard-harbinger.jpg
中型	Vanguard Hoplite	圣盾 先锋 重装兵	Combat / Dropship	可飞	240	2.html			Data\ShipImages\vanguard-hoplite.jpg
中型	Vanguard Sentinel	圣盾 先锋 哨兵	Combat / Interdiction	可飞	275	2.html			Data\ShipImages\vanguard-sentinel.jpg
中型	Vanguard Warden	圣盾 先锋 典狱长	Combat / Heavy Fighter	可飞	260	2.html			Data\ShipImages\vanguard-warden.jpg
中型	Vulcan	圣盾 火神	Multi-role / Medium Repair / Medium Refuel	概念	200	2.html			Data\ShipImages\vulcan.jpg
中型	Zeus Mk II CL	RSI 宙斯 MK II CL	Transport / Medium Freight	可飞	175	2.html			Data\ShipImages\zeus-mk-ii-cl.jpg
中型	Zeus Mk II ES	RSI 宙斯 MK II ES	Exploration / Expedition	可飞	175	2.html			Data\ShipImages\zeus-mk-ii-es.jpg
中型	Zeus Mk II MR	RSI 宙斯 MK II MR	Combat / Interdiction	概念	190	3.html			Data\ShipImages\zeus-mk-ii-mr.jpg
小型	100i	起源 100i	Multi-role / Starter / Touring	可飞	50	官网小型页 1.html			Data\ShipImages\100i.jpg
小型	125a	起源 125a	Multi-role / Starter / Light Fighter	可飞	60	官网小型页 1.html			Data\ShipImages\125a.jpg
小型	135c	起源 135c	Multi-role / Starter / Light Freight	可飞	65	官网小型页 1.html			Data\ShipImages\135c.jpg
小型	300i	起源 300i	Multi-role / Luxury / Touring	可飞	60	官网小型页 1.html			Data\ShipImages\300i.jpg
小型	315p	起源 315p	Exploration / Pathfinder	可飞	65	官网小型页 1.html			Data\ShipImages\315p.jpg
小型	325a	起源 325a	Combat / Interdiction / Light Fighter	可飞	70	官网小型页 1.html			Data\ShipImages\325a.jpg
小型	350r	起源 350r	Competition / Racing	可飞	125	官网小型页 1.html			Data\ShipImages\350r.jpg
小型	85X	起源 85X 限量版	Exploration / Touring	可飞	50	官网小型页 1.html			Data\ShipImages\85x.png
小型	Anvil Ballista Dunestalker	铁砧 弩炮 沙丘追猎者	Combat / Military	可飞	140	官网小型页 1.html		vehicle	Data\ShipImages\anvil-ballista-dunestalker.jpg
小型	Anvil Ballista Snowblind	铁砧 弩炮 雪盲	Combat / Military	可飞	140	官网小型页 1.html		vehicle	Data\ShipImages\anvil-ballista-snowblind.jpg
小型	Ares Ion	十字军 战神 离子光	Combat / Heavy Fighter	可飞	250	官网小型页 1.html			Data\ShipImages\ares-ion.jpg
小型	Arrow	铁砧 箭矢	Combat / Light Fighter	可飞	75	官网小型页 1.html			Data\ShipImages\arrow.jpg
小型	ATLS	南船座 ATLS IKTI Rad	Ground / Industrial	可飞	40	官网小型页 1.html			Data\ShipImages\atls.jpg
小型	ATLS GEO	南船座 ATLS GEO IKTI	Ground / Industrial	可飞	45	官网小型页 1.html			Data\ShipImages\atls-geo.jpg
小型	Aurora Mk I CL	极光 MK I CL	Transport / Light Freight	可飞	45	官网小型页 1.html			Data\ShipImages\aurora-mk-i-cl.jpg
小型	Aurora Mk I ES	极光 MK I ES	Multi-role / Starter / Pathfinder	可飞	20	官网小型页 1.html			Data\ShipImages\aurora-mk-i-es.jpg
小型	Aurora Mk I LN	极光 MK I LN	Transport / Light Fighter	可飞	40	官网小型页 1.html			Data\ShipImages\aurora-mk-i-ln.jpg
小型	Aurora Mk I LX	极光 MK I LX	Exploration / Pathfinder	可飞	35	官网小型页 1.html			Data\ShipImages\aurora-mk-i-lx.jpg
小型	Aurora Mk I MR	极光 MK I MR	Transport / Light Fighter	可飞	30	官网小型页 1.html			Data\ShipImages\aurora-mk-i-mr.jpg
小型	Aurora Mk I SE	极光 MK I SE	Transport / Light Fighter	可飞	60	官网小型页 1.html			Data\ShipImages\aurora-mk-i-se.jpg
小型	Aurora Mk II	极光 MK II	Transport / Light Fighter	可飞	45	官网小型页 2.html			Data\ShipImages\aurora-mk-ii.jpg
小型	Avenger Stalker	圣盾 复仇者 追猎	Combat / Interdiction	可飞	60	官网小型页 2.html			Data\ShipImages\avenger-stalker.jpg
小型	Avenger Titan	圣盾 复仇者 泰坦变节者	Transport / Light Freight	可飞	60	官网小型页 2.html			Data\ShipImages\avenger-titan.jpg
小型	Avenger Titan Renegade	圣盾 复仇者 泰坦变节者	Transport / Light Freight	可飞	75	官网小型页 2.html			Data\ShipImages\avenger-titan-renegade.jpg
小型	Avenger Warlock	圣盾 复仇者 术士	Combat / Interdiction	可飞	85	官网小型页 2.html			Data\ShipImages\avenger-warlock.jpg
小型	Ballista	铁砧 弩炮 沙丘追猎者	Combat / Military	可飞	140	官网小型页 2.html		vehicle	Data\ShipImages\ballista.jpg
小型	Basher	重锤	Combat / Light Fighter	可飞	110	https://robertsspaceindustries.com/pledge/ships/basher/Basher	Grey's Market；内部代码 GLSN_Basher；游戏本地化 vehicle_NameGLSN_Basher=格雷黑市 Basher、vehicle_NameGLSN_Basher_short=Basher；Max crew: 1；中文名由用户确认于 2026-07-16		Data\ShipImages\basher.jpg
小型	Blade	剜度 刀锋	Combat / Light Fighter	可飞	275	官网小型页 2.html			Data\ShipImages\blade.png
小型	Buccaneer	德雷克 掠夺者	Combat / Interdiction	可飞	110	官网小型页 2.html			Data\ShipImages\buccaneer.jpg
小型	C8 Pisces	铁砧 C8 双鱼座	Exploration / Exploration	可飞	45	官网小型页 2.html			Data\ShipImages\c8-pisces.jpg
小型	C8R Pisces	铁砧 C8R 双鱼座 救护	Support / Medical	可飞	65	官网小型页 2.html			Data\ShipImages\c8r-pisces.jpg
小型	C8X Pisces Expedition	铁砧 C8X 双鱼座 远征	Exploration / Expedition	可飞	45	官网小型页 2.html			Data\ShipImages\c8x-pisces-expedition.jpg
小型	Centurion	铁砧 百夫长	Ground / Combat	可飞	110	官网小型页 2.html		vehicle	Data\ShipImages\centurion.jpg
小型	Clipper	德雷克 快帆	Exploration / Generalist	可飞	150	官网小型页 2.html			Data\ShipImages\clipper.jpg
小型	CSV-SM	CSV-SM	Ground / Freight	可飞	45	官网小型页 2.html		vehicle	Data\ShipImages\csv-sm.jpg
小型	Cutter	德雷克 小刀 漫步者	Transport / Starter / Light Freight	可飞	45	官网小型页 2.html			Data\ShipImages\cutter.jpg
小型	Cutter Rambler	德雷克 小刀 漫步者	Exploration / Starter / Expedition	可飞	50	官网小型页 2.html			Data\ShipImages\cutter-rambler.jpg
小型	Cutter Scout	德雷克 小刀 侦察兵	Exploration / Reconnaissance / Intelligence	可飞	50	官网小型页 2.html			Data\ShipImages\cutter-scout.jpg
小型	Cyclone	盾博尔 旋风 RC	Ground / Exploration / Recon	可飞	55	官网小型页 2.html		vehicle	Data\ShipImages\cyclone.jpg
小型	Cyclone AA	盾博尔 旋风 AA	Ground / Anti-aircraft	可飞	80	官网小型页 2.html		vehicle	Data\ShipImages\cyclone-aa.jpg
小型	Cyclone MT	盾博尔 旋风 MT	Ground / Assault	可飞	75	官网小型页 2.html		vehicle	Data\ShipImages\cyclone-mt.jpg
小型	Cyclone RC	盾博尔 旋风 RC	Ground / Racing	可飞	65	官网小型页 3.html		vehicle	Data\ShipImages\cyclone-rc.png
小型	Cyclone RN	盾博尔 旋风 RN	Ground / Recon	可飞	65	官网小型页 3.html		vehicle	Data\ShipImages\cyclone-rn.jpg
小型	Cyclone TR	盾博尔 旋风 TR	Ground / Combat	可飞	65	官网小型页 3.html		vehicle	Data\ShipImages\cyclone-tr.jpg
小型	Defender	巴努 防卫者	Combat / Light Fighter	可飞	220	官网小型页 3.html			Data\ShipImages\defender.jpg
小型	Dragonfly Black	德雷克 蜻蜓	Competition / Racing	可飞	40	官网小型页 3.html		vehicle	Data\ShipImages\dragonfly-black.jpg
小型	Dragonfly Yellowjacket	德雷克 蜻蜓 黄胡蜂	Competition / Racing	可飞	40	官网小型页 3.html		vehicle	Data\ShipImages\dragonfly-yellowjacket.jpg
小型	Expanse	武藏 无垠	Industrial / Refinery	概念	150	官网小型页 3.html			Data\ShipImages\expanse.jpg
小型	F7A Hornet Mk I	铁砧 F7A 大黄蜂 Mk I	Combat / Medium Fighter	可飞	125	官网小型页 3.html			Data\ShipImages\f7a-hornet-mk-i.jpg
小型	F7A Hornet Mk II	铁砧 F7A 大黄蜂 Mk II	Combat / Medium Fighter	可飞	240	官网小型页 3.html			Data\ShipImages\f7a-hornet-mk-ii.jpg
小型	F7C Hornet Mk I	铁砧 F7C 大黄蜂 Mk I	Combat / Medium Fighter	可飞	125	官网小型页 3.html			Data\ShipImages\f7c-hornet-mk-i.jpg
小型	F7C Hornet Mk II	铁砧 F7C 大黄蜂 Mk II	Combat / Medium Fighter	可飞	175	官网小型页 3.html			Data\ShipImages\f7c-hornet-mk-ii.jpg
小型	F7C Hornet Wildfire Mk I	铁砧 F7C 大黄蜂 野火 Mk I	Combat / Medium Fighter	可飞	175	官网小型页 3.html			Data\ShipImages\f7c-hornet-wildfire-mk-i.jpg
小型	F7C-M Super Hornet Heartseeker Mk I	铁砧 F7C-M 大黄蜂 寻心者 Mk I	Combat / Medium Fighter	可飞	200	官网小型页 3.html			Data\ShipImages\f7c-m-super-hornet-heartseeker-mk-i.jpg
小型	F7C-M Super Hornet Mk I	铁砧 F7C-M 超级大黄蜂 Mk I	Combat / Medium Fighter	可飞	180	官网小型页 3.html			Data\ShipImages\f7c-m-super-hornet-mk-i.jpg
小型	F7C-M Super Hornet Mk II	铁砧 F7C-M 超级大黄蜂 MK II	Combat / Medium Fighter	可飞	240	官网小型页 3.html			Data\ShipImages\f7c-m-super-hornet-mk-ii.jpg
小型	F7C-R Hornet Tracker Mk I	铁砧 F7C-R 大黄蜂 追踪者 Mk I	Combat / Pathfinder	可飞	150	官网小型页 3.html			Data\ShipImages\f7c-r-hornet-tracker-mk-i.jpg
小型	F7C-R Hornet Tracker Mk II	铁砧 F7C-R 大黄蜂 追踪者 Mk II	Combat / Pathfinder	可飞	185	官网小型页 3.html			Data\ShipImages\f7c-r-hornet-tracker-mk-ii.jpg
小型	F7C-S Hornet Ghost Mk I	铁砧 F7C-S 大黄蜂 幽灵 Mk I	Combat / Stealth Fighter	可飞	140	官网小型页 3.html			Data\ShipImages\f7c-s-hornet-ghost-mk-i.jpg
小型	F7C-S Hornet Ghost Mk II	铁砧 F7C-S 大黄蜂 幽灵 Mk II	Combat / Stealth Fighter	可飞	185	官网小型页 3.html			Data\ShipImages\f7c-s-hornet-ghost-mk-ii.jpg
小型	F8C Lightning	铁砧 F8C 闪电	Combat / Heavy Fighter	可飞	300	官网小型页 3.html			Data\ShipImages\f8c-lightning.jpg
小型	F8C Lightning Executive Edition	铁砧 F8C 闪电 行政版	Combat / Heavy Fighter	可飞	300	官网小型页 4.html			Data\ShipImages\f8c-lightning-executive-edition.jpg
小型	Fortune	武藏 财运	Industrial / Salvage	可飞	175	官网小型页 4.html			Data\ShipImages\fortune.jpg
小型	Fury	未来 狂怒 MX	Combat / Snub Fighter	可飞	55	官网小型页 4.html			Data\ShipImages\fury.jpg
小型	Fury LX	未来 狂怒 LX	Competition / Racing	可飞	55	官网小型页 4.html			Data\ShipImages\fury-lx.jpg
小型	Fury MX	未来 狂怒	Combat / Snub Fighter	可飞	55	官网小型页 4.html			Data\ShipImages\fury-mx.jpg
小型	G12	起源 G12	Ground / Touring	概念	60	官网小型页 4.html		vehicle	Data\ShipImages\g12.jpg
小型	G12a	起源 G12a	Ground / Military	概念	65	官网小型页 4.html		vehicle	Data\ShipImages\g12a.jpg
小型	G12r	起源 G12r	Competition / Racing	概念	60	官网小型页 4.html		vehicle	Data\ShipImages\g12r.jpg
小型	Gladiator	铁砧 角斗士	Combat / Bomber	可飞	165	官网小型页 4.html			Data\ShipImages\gladiator.jpeg
小型	Gladius	圣盾 短剑 勇士	Combat / Light Fighter	可飞	90	官网小型页 4.html			Data\ShipImages\gladius.jpg
小型	Gladius Pirate Edition	圣盾 短剑 海盗	Combat / Light Fighter	可飞	110	官网小型页 4.html			Data\ShipImages\gladius-pirate-edition.jpg
小型	Gladius Valiant	圣盾 短剑 勇士	Combat / Light Fighter	可飞	110	官网小型页 4.html			Data\ShipImages\gladius-valiant.jpg
小型	Golem	德雷克 魔像	Industrial / Mining	可飞	60	官网小型页 4.html			Data\ShipImages\golem.jpg
小型	Golem OX	德雷克 魔像 OX	Transport / Light Freight	可飞	90	官网小型页 4.html			Data\ShipImages\golem-ox.jpg
小型	Guardian	未来 守护者	Combat / Heavy Fighter	可飞	250	官网小型页 4.html			Data\ShipImages\guardian.jpg
小型	Guardian MX	未来 守护者 MX	Combat / Heavy Fighter	可飞	290	官网小型页 4.html			Data\ShipImages\guardian-mx.jpg
小型	Guardian QI	未来 守护者 QI	Combat / Heavy Fighter	可飞	260	官网小型页 4.html			Data\ShipImages\guardian-qi.jpg
小型	Hawk	铁砧 猎鹰	Combat / Light Fighter	可飞	100	官网小型页 4.html			Data\ShipImages\hawk.png
小型	Herald	德雷克 蓝信使	Transport / Medium Data	可飞	85	官网小型页 4.html			Data\ShipImages\herald.jpg
小型	HoverQuad	联合外域 悬浮驷	Ground / Racing	可飞	30	官网小型页 4.html		vehicle	Data\ShipImages\hoverquad.jpg
小型	Hull A	武藏 货轮 A	Industrial / Medium Freight	可飞	100	官网小型页 5.html			Data\ShipImages\hull-a.jpg
小型	Hurricane	铁砧 飓风	Combat / Heavy Fighter	可飞	210	官网小型页 5.html			Data\ShipImages\hurricane.jpg
小型	Intrepid	十字军 无畏	Transport / Light Freight	可飞	65	官网小型页 5.html			Data\ShipImages\intrepid.jpg
小型	Khartu-Al	奥波亚 卡图	Combat / Light Fighter	可飞	175	官网小型页 5.html			Data\ShipImages\khartu-al.jpg
小型	L-21 Wolf	克鲁格 L-21 狼式	Combat / Light Fighter	可飞	100	官网小型页 5.html			Data\ShipImages\l-21-wolf.jpg
小型	L-22 Alpha Wolf	克鲁格 L-22 头狼	Combat / Light Fighter	可飞	120	官网小型页 5.html			Data\ShipImages\l-22-alpha-wolf.jpg
小型	Legionnaire	铁砧 军团兵	Combat / Boarding	概念	120	官网小型页 5.html			Data\ShipImages\legionnaire.jpeg
小型	Lynx	RSI 天猫座	Ground / Luxury Transport / Explorer	可飞	60	官网小型页 5.html		vehicle	Data\ShipImages\lynx.jpg
小型	M50	起源 M50 截击机	Competition / Racing	可飞	100	官网小型页 5.html			Data\ShipImages\m50.png
小型	M80	起源 M80	Combat / Heavy Fighter	可飞	300	官网小型页 5.html			Data\ShipImages\m80.jpg
小型	Mantis	RSI 螳螂	Combat / Interdictor	可飞	150	官网小型页 5.html			Data\ShipImages\mantis.jpg
小型	MDC	灰猫 MDC	Ground / Anti-Air	可飞	50	官网小型页 5.html		vehicle	Data\ShipImages\mdc.jpg
小型	Meteor	RSI 流星	Combat / Medium Fighter	可飞	260	官网小型页 5.html			Data\ShipImages\meteor.jpg
小型	MPUV Cargo	南船座 MPUV 货运	Transport / Light Freight	可飞	35	官网小型页 5.html		vehicle	Data\ShipImages\mpuv-cargo.jpg
小型	MPUV Personnel	南船座 MPUV 货运	Transport / Passenger	可飞	40	官网小型页 5.html		vehicle	Data\ShipImages\mpuv-personnel.jpg
小型	MPUV Tractor	南船座 MPUV 牵引	Transport / Cargo Loader	可飞	40	官网小型页 5.html		vehicle	Data\ShipImages\mpuv-tractor.jpg
小型	MTC	灰猫 MTC	Ground / Combat	可飞	50	官网小型页 5.html		vehicle	Data\ShipImages\mtc.jpg
小型	Mule	德雷克 骡	Ground / Transport	可飞	45	官网小型页 5.html		vehicle	Data\ShipImages\mule.jpg
小型	Mustang Alpha	联合外域 野马 阿尔法	Multi-role / Cargo	可飞	30	官网小型页 5.html			Data\ShipImages\mustang-alpha.jpg
小型	Mustang Alpha Vindicator	联合外域 野马 阿尔法 辩护者	Multi-role / Starter / Light Freight	可飞	30	官网小型页 5.html			Data\ShipImages\mustang-alpha-vindicator.png
小型	Mustang Beta	联合外域 野马 贝塔	Exploration / Pathfinder	可飞	40	官网小型页 6.html			Data\ShipImages\mustang-beta.jpg
小型	Mustang Delta	联合外域 野马 德尔塔	Combat / Light Fighter	可飞	65	官网小型页 6.html			Data\ShipImages\mustang-delta.jpg
小型	Mustang Gamma	联合外域 野马 伽马	Competition / Racing	可飞	55	官网小型页 6.html			Data\ShipImages\mustang-gamma.jpg
小型	Mustang Omega	联合外域 野马 欧米伽	Competition / Racing	可飞	55	官网小型页 6.html			Data\ShipImages\mustang-omega.jpg
