源英文飞船名	源中文飞船名	源规格	UEX源名	替代船英文名	UEX已更新	显示规则	隐藏标签
Odyssey	武藏 奥德赛	大型	MISC Odyssey	MISC Reliant Kore	1y	OnlyWhenSourceIsConcept	concept-loaner
Orion	RSI 猎户座	旗舰级	RSI Orion	Argo MOLE	1y	OnlyWhenSourceIsConcept	concept-loaner
Orion	RSI 猎户座	旗舰级	RSI Orion	MISC Prospector	1y	OnlyWhenSourceIsConcept	concept-loaner
Pioneer	联合外域 开拓者	旗舰级	C.O. Pioneer	Drake Caterpillar	1y	OnlyWhenSourceIsConcept	concept-loaner
Pioneer	联合外域 开拓者	旗舰级	C.O. Pioneer	C.O. Nomad	1y	OnlyWhenSourceIsConcept	concept-loaner
Ranger CV	盾博尔 游骑兵 CV	小型	Tumbril Ranger CV	Tumbril Cyclone	1y	OnlyWhenSourceIsConcept	concept-loaner
Ranger RC	盾博尔 游骑兵 RC	小型	Tumbril Ranger RC	Tumbril Cyclone RC	1y	OnlyWhenSourceIsConcept	concept-loaner
Ranger TR	盾博尔 游骑兵 TR	小型	Tumbril Ranger TR	Tumbril Cyclone TR	1y	OnlyWhenSourceIsConcept	concept-loaner
Vulcan	圣盾 火神	中型	Aegis Vulcan	MISC Starfarer	1y	OnlyWhenSourceIsConcept	concept-loaner
Zeus Mk II MR	RSI 宙斯 MK II MR	中型	RSI Zeus Mk II MR	RSI Zeus Mk II ES	1y	OnlyWhenSourceIsConcept	concept-loaner
